Nome,Telefone,Endereço,Convênio,CPF,Nascimento
Alice Souza,21 0053-3025,"Viela Martins, 9
Vila Nova Cachoeirinha 2ª Seção
78406394 Cavalcanti / RO",Plano DDD,433.648.168-76,11/17/2012
Nathan Monteiro,+55 (071) 3085 0436,"Vila Caldeira
Túnel De Ibirité
18313-937 Oliveira das Flores / GO",Plano EEE,382.726.948-89,12/11/2014
Stella Melo,(031) 1869 5078,"Aeroporto de Almeida, 601
Boa Esperança
66671815 Azevedo / AC",Plano EEE,657.431.964-84,02-17-2009
Caroline Alves,(011) 3963 0945,"Aeroporto Maria Luiza Jesus, 49
Vila De Sá
90703-492 da Mata / RN",Plano AAA,234.350.182-78,10/26/2016
Thales Peixoto,(071) 3717 0555,"Residencial de Pinto
Acaiaca
98440-596 Caldeira / SC",Plano EEE,492.610.625-14,10/03/2012
Maysa Melo,(071) 0198 7904,"Trecho de das Neves, 83
Vila São Francisco
84190-340 Mendes / PR",Plano BBB,175.789.489-71,01/13/2011
Marcelo Barbosa,+55 (071) 6996 7819,"Campo de Novaes, 84
Manacas
74685276 Silveira / AP",Plano DDD,297.386.193-10,04/10/2003
Luiz Fernando Mendes,(031) 2533 4893,"Vereda Nogueira, 1
Alto Caiçaras
04706-942 Caldeira / RS",Plano CCC,953.359.828-69,07/07/2010
Ana Julia Barros,31 5948 5504,"Campo de Moura
Ernesto Nascimento
95945-719 Almeida do Campo / MG",Particular,445.658.694-79,12/27/1992
Sr. Lucas Silveira,81 7115 2610,"Vereda da Paz, 308
Paulo Vi
79909394 Pires de Silva / MT",Plano EEE,129.205.381-66,05/18/1998
Igor Azevedo,+55 (061) 7835 5158,"Rodovia Melo
Trevo
23387-124 Barros / PE",Plano CCC,713.636.597-17,05/03/2017
Thomas Azevedo,+55 61 4831-5195,"Viela Mendes, 5
Vila De Sá
70620022 da Conceição de Barbosa / PA",Plano EEE,467.977.657-75,06/01/2015
Noah Peixoto,71 7216-7999,"Jardim Pedro Pinto, 3
Acaiaca
65989987 Lima de Costa / SE",Plano CCC,108.887.857-44,11/19/2003
Ana Vitória Rezende,+55 41 6026 4329,"Via de Mendes, 34
Anchieta
99284322 Cardoso / SC",Plano CCC,509.312.771-31,04/15/2008
Dra. Larissa Ferreira,+55 (061) 7518 6949,"Área Arthur Nascimento, 13
Santa Cecilia
90824-990 Nogueira do Amparo / PR",Plano EEE,265.745.809-78,03/26/2013
Maria Luiza Oliveira,61 8848 9966,"Rodovia Eduardo Cavalcanti, 229
Leticia
73277-234 Santos / MT",Plano DDD,503.515.479-97,08/04/2003
Gabriela da Cruz,61 4137 9721,"Trevo da Mota, 32
Palmares
58142-252 da Cruz de Pires / AL",Particular,619.912.778-59,04/22/2001
Fernando Fernandes,(081) 9551 1577,"Rua de Caldeira, 69
Lindéia
23159-412 Lopes de Lopes / DF",Plano DDD,399.824.603-60,10/06/2011
Pietra Pereira,(061) 4899 9782,"Vereda Cardoso, 984
Vila Madre Gertrudes 1ª Seção
12627-828 Melo do Amparo / SC",,754.547.788-53,03/26/2016
João Oliveira,(081) 2707-8609,"Passarela de da Mata, 52
Jardim Do Vale
11156-385 Vieira / MG",Plano EEE,468.867.461-96,04/10/1994
Srta. Maria Clara Carvalho,41 1413-0788,"Jardim de Novaes, 66
Paraíso
71226-628 da Conceição / SP",Particular,514.720.563-33,01/09/2018
Leandro Dias,+55 11 0113-7343,"Lago Sofia Carvalho, 47
Santo Agostinho
22337044 da Costa de Freitas / RO",Plano AAA,431.507.511-80,06/28/2014
Sra. Sabrina Porto,+55 (041) 0151-4230,"Jardim de Peixoto
Marilandia
04651-322 Lopes das Pedras / AL",Plano AAA,144.324.413-40,11/10/1996
Esther Peixoto,+55 (051) 1508-4688,"Estrada Sophie Sales, 14
Vila Sesc
02057045 das Neves de Nogueira / RR",Plano DDD,306.740.565-31,05/31/1996
Dra. Ana Sophia Lopes,(011) 7857 8300,"Loteamento de Fogaça, 57
Camponesa 2ª Seção
25395-748 Vieira / MA",Plano BBB,944.129.140-73,07/06/2011
Leandro Lopes,+55 (051) 1984 5548,"Vale Sofia Barros, 138
Vila Formosa
78649-227 da Paz / AL",Plano BBB,185.778.675-20,05/28/2002
Diego Gonçalves,+55 (081) 7133 6099,"Estação Gonçalves, 68
Nossa Senhora Da Aparecida
32855-323 Caldeira / PA",Plano AAA,895.363.406-18,06/26/2003
Emanuel Ferreira,+55 31 7715-4078,"Lagoa Laís Ferreira, 75
Planalto
36455259 Nogueira / RN",Particular,526.271.646-43,06/16/2013
Caroline Souza,61 8655-9671,"Praça Luana Silva, 36
Vila Antena
19031-445 Oliveira / AL",Plano EEE,476.204.704-45,07/19/2008
Bryan Nogueira,+55 (084) 2894-2291,"Campo Moura, 73
Pindorama
40356853 Araújo das Pedras / CE",Particular,936.623.543-29,04/27/2019
Leandro Campos,+55 (031) 7354 7653,"Feira de Cavalcanti, 98
Grota
95729916 Monteiro / TO",Plano BBB,147.536.557-14,08/15/2016
Vinicius Moura,+55 (071) 7862-6283,"Área Santos, 979
Jardim Alvorada
39763-604 Moraes Alegre / RS",Plano EEE,324.215.934-71,01/12/2005
João Guilherme Viana,+55 (051) 4484 7759,"Distrito de Correia, 395
Barreiro
73176-107 Correia do Norte / CE",Plano EEE,832.805.529-87,03/28/1995
Raquel Rezende,+55 (011) 9159 7777,"Chácara Santos, 69
Vila Da Amizade
21816582 Mendes do Campo / PI",Plano CCC,393.403.322-50,11/15/2003
Dr. Nicolas Novaes,(011) 9521-1033,"Trecho de Martins, 37
Alpes
93622486 Viana de Freitas / AC",Plano BBB,846.753.998-26,12/06/2012
Julia Mendes,+55 61 5736-3036,"Rua de Gonçalves, 4
Vila Novo São Lucas
90819199 Rodrigues / PE",Plano DDD,908.650.768-19,03/13/1997
Catarina Alves,(084) 9231-7965,"Chácara da Cunha, 280
Vila De Sá
92824786 Melo / ES",Plano BBB,213.213.635-58,10/06/1996
Ana Carolina Moura,+55 71 9849 5590,"Quadra Fogaça, 74
Goiania
41234-592 Castro Grande / MS",Plano BBB,658.481.387-91,04/03/2020
Sofia Freitas,+55 41 3710-1404,"Chácara Silveira, 52
Embaúbas
82298209 da Rocha Grande / MG",Plano DDD,848.201.599-75,07/02/1992
Alexandre Alves,11 8396 5982,"Trecho Bryan Rezende, 2
Jaraguá
58112564 Freitas de Goiás / AC",Plano BBB,891.142.454-24,06/03/2002
Sr. Pedro Moura,81 2114-2471,"Via Moraes, 7
Pilar
66352525 Alves / BA",Plano DDD,608.353.302-18,11/06/2013
Nathan Barros,+55 (081) 5172 8130,"Lago de da Luz, 118
Flavio De Oliveira
90390081 Campos do Sul / PB",Plano EEE,843.630.229-75,11/22/2006
Luiz Gustavo da Rocha,+55 71 5882-7008,"Parque de Ferreira, 29
Vila Bandeirantes
45177895 Santos do Sul / DF",Plano CCC,291.304.173-71,05/11/1998
Joaquim Cunha,41 5544-9259,"Vale de Vieira, 1
Concórdia
00150-348 Cavalcanti / AP",Plano EEE,448.642.366-32,12/22/2004
Sophie Ferreira,(011) 4024 2674,"Vila de da Cruz, 269
Minaslandia
33249953 da Luz do Campo / RJ",Plano EEE,625.892.518-73,02/10/2015
Marina Peixoto,51 004 1385,"Viela de da Paz, 24
Tupi B
15609-509 Monteiro do Amparo / TO",Plano EEE,675.765.367-45,07/20/1993
Dra. Isabelly Alves,71 2844 5842,"Favela da Paz, 66
Xangri-Lá
86297214 Teixeira de Freitas / RN",Particular,970.232.789-68,02/11/2008
Sofia Cavalcanti,+55 (051) 7977-0868,"Trevo Porto, 7
Vila Boa Vista
01704-642 Martins do Norte / RJ",Plano BBB,282.882.831-34,06/02/1999
Ana Julia Jesus,+55 (061) 9487 1069,"Avenida Sophie Campos, 499
Madri
73153-568 Viana / BA",Plano CCC,292.354.819-29,03/13/1996
João Nascimento,+55 (051) 7939 0474,"Parque Nicolas Moraes, 869
Conjunto Providencia
75373-454 Almeida / MT",Plano DDD,502.778.260-38,10/04/2000
Sra. Alana Castro,+55 84 7013 4243,"Pátio Pires, 59
Cdi Jatoba
73026-791 Almeida / SC",Plano CCC,491.302.148-27,03/09/1999
Isaac Carvalho,(061) 8639 9916,"Praça de da Rocha, 21
Vila União
15660-560 Costa das Pedras / TO",Plano BBB,115.648.168-31,10/17/1996
Benjamin Caldeira,+55 (011) 0594 0539,"Morro de Fernandes, 27
Vila Barragem Santa Lúcia
68641076 da Costa do Campo / SC",Plano DDD,688.649.135-41,09/19/2005
Yuri Monteiro,71 4237 1371,"Núcleo de Cunha
Vila Sumaré
16032081 Ramos da Serra / ES",Plano DDD,182.403.327-82,02/01/2010
Marcos Vinicius Martins,+55 (081) 3583-8308,"Praia Costa, 32
Vila São Rafael
70713-542 Santos de Minas / AL",Plano AAA,433.688.874-34,07/18/2016
Ana Vitória Cavalcanti,+55 41 2828-7503,"Quadra Letícia Gonçalves, 37
São Francisco
65956-766 Martins Paulista / ES",Plano DDD,592.986.215-24,02/20/2002
Maria Clara Santos,51 757 6515,"Esplanada Maria Alice Gomes, 920
Sion
80749-424 Moura / SC",Plano CCC,596.632.581-57,04/15/1992
Marina Peixoto,(081) 2319 9847,"Área Vitor Hugo da Cunha, 53
Vila Satélite
30822791 da Mata / RS",Plano EEE,942.823.134-76,06/14/2018
João Miguel Gomes,(021) 2663 5061,"Esplanada Lopes, 8
Vitoria Da Conquista
97121-979 Almeida Grande / SE",Plano CCC,113.314.347-51,08/09/1995
Sr. Cauê da Conceição,11 1467 7122,"Núcleo da Paz
Maria Virgínia
82327706 Almeida Alegre / RN",Plano AAA,869.972.130-46,12/15/2012
Diego Almeida,(011) 1354-5218,"Feira de Silveira, 162
Belvedere
22511-952 da Rosa / SE",Plano AAA,530.952.312-52,06/07/2006
Sophia da Mota,(084) 6907-3281,"Alameda Ferreira, 78
Vila Madre Gertrudes 2ª Seção
88092271 Fogaça da Serra / MT",Plano CCC,511.126.221-51,09/25/2019
Sra. Julia Lopes,+55 (041) 5712-1477,"Morro Kamilly Ferreira, 32
Engenho Nogueira
73468747 Jesus / DF",Plano DDD,229.753.383-11,06/01/2012
Camila da Mata,71 1405-4255,"Área da Rosa, 40
Vila Havaí
98924603 da Cruz / ES",Plano CCC,871.846.695-25,
Dr. Vicente Rocha,(051) 9704 3627,"Favela da Cruz, 55
Betânia
66539-874 Cardoso de Monteiro / AM",Plano BBB,775.272.862-51,11/29/1993
Dr. Enzo Gabriel Carvalho,+55 (041) 9413 7780,"Parque Leandro Correia, 40
Serra Verde
13966-167 Alves / AP",Particular,608.687.684-49,11/05/2003
João Miguel da Mota,84 1864-4101,"Sítio de Campos, 424
Embaúbas
26338-077 Moreira / PR",Plano CCC,918.550.611-90,11/26/2018
Dr. Lucas Gabriel Barbosa,+55 41 5505 6058,"Praça de Cunha, 47
Baleia
99162-098 Souza da Praia / RR",Plano CCC,811.908.422-43,11/09/2011
Maria Eduarda Monteiro,+55 (084) 2153-1248,"Praia de Cavalcanti, 27
Mangabeiras
31962409 Pereira / SC",Plano BBB,848.316.475-89,09/13/2004
Sra. Raquel Fogaça,71 2011 9443,"Colônia de Monteiro, 16
Penha
98743856 Dias / DF",Plano CCC,338.235.158-21,06/22/2019
Francisco Cardoso,+55 31 5280-4878,"Parque de Rocha, 36
Ademar Maldonado
24831-030 Lopes / PB",Plano BBB,294.231.190-59,11/01/2019
João Pedro Moreira,+55 (051) 1290-5417,"Lagoa Joana Almeida, 4
Betânia
51044381 Freitas / DF",Plano AAA,249.562.562-86,04/27/2008
Kaique Vieira,84 9732-7401,"Colônia Gomes
São Sebastião
90723-163 Costa / PR",Plano EEE,622.416.453-43,12/27/2013
Sophia Cardoso,41 2160 9099,"Estação de Campos, 887
Santa Monica
59191701 Teixeira da Serra / MA",Particular,149.462.633-46,01-15-1997
Breno Farias,+55 71 2110-0947,"Viaduto Lima, 8
Conjunto Minas Caixa
84400-379 Costela / MT",Plano DDD,967.338.544-89,02/14/1993
Lucas Gabriel Nunes,(031) 5294 2377,"Parque de da Paz, 3
Pilar
45918138 Cavalcanti / AP",Plano BBB,306.132.782-22,03/05/2018
Dra. Brenda Porto,(084) 3954-8650,"Praça de da Cruz, 30
Dom Bosco
66958-353 Carvalho das Pedras / RN",Plano CCC,868.423.750-12,03/04/2008
Maysa Teixeira,+55 (051) 5058 2483,"Rua Melo, 32
Vila Ouro Minas
25072-086 Azevedo Verde / ES",Plano DDD,619.110.722-47,04/17/2001
Maria Sales,+55 (051) 5770-2799,"Campo da Rosa, 32
Vila Madre Gertrudes 2ª Seção
19390-743 da Conceição / MG",Plano AAA,148.568.351-75,07/28/1991
Maysa Pinto,+55 (041) 6818 8838,"Viela Alves, 47
Vila Aeroporto Jaraguá
21523-077 Nunes do Campo / RN",Plano BBB,157.398.257-28,06/11/2009
Lucas da Mota,+55 (071) 5738 4426,"Praia de Rodrigues, 49
Jaqueline
85618988 Pereira de Duarte / RJ",Particular,456.581.913-49,04/03/2008
Luana Fogaça,21 5567-4784,"Chácara da Mata, 24
Vila Barragem Santa Lúcia
85346089 Lopes das Flores / BA",Plano CCC,594.425.812-48,05/21/2019
Dr. Samuel Moraes,+55 11 5375-3990,"Passarela de Souza
São Jorge 3ª Seção
64713802 Fogaça de da Cunha / AC",Plano AAA,105.825.260-58,07/14/2009
Nicole Almeida,+55 71 8367-3269,"Núcleo de Cardoso
Santa Isabel
07791899 Azevedo / MA",Particular,540.492.909-14,05/28/2013
Luiz Fernando Cardoso,+55 (031) 8638-0669,"Via Agatha Novaes, 26
Monsenhor Messias
97852-484 da Conceição das Pedras / SE",Plano AAA,514.637.973-60,09/26/2013
Rafael Fernandes,+55 21 1057 5736,"Recanto Mariane da Mota, 406
Barro Preto
80403-368 da Rosa / ES",Plano BBB,159.758.899-19,06/23/2006
Calebe da Luz,+55 41 1468 0104,"Feira da Costa
Liberdade
24581199 Moura / TO",Plano BBB,835.576.646-89,02/25/1992
Francisco Carvalho,+55 (071) 6448 7027,"Parque da Conceição, 1
Atila De Paiva
58858595 da Cunha / SC",Plano CCC,900.428.984-24,06/06/2013
Joaquim Farias,+55 (011) 2269-9375,"Pátio de da Mota, 24
Oeste
90980-158 Santos / ES",Plano DDD,548.152.161-53,08/20/2014
Breno Lima,(051) 1156 6925,"Parque Lima, 41
Madri
20600426 Costa / AM",Particular,120.173.522-40,09/01/2014
Sr. Vitor Castro,81 1473-9213,"Alameda Pedro Henrique Carvalho, 37
Engenho Nogueira
01599535 Campos / MG",Particular,348.662.852-35,09/09/1994
Maria Eduarda Nascimento,84 9454-0955,"Vereda Juliana Barbosa, 8
Vila Esplanada
63212-334 Azevedo / PB",Plano BBB,684.339.647-84,08/05/2014
Fernando Sales,(051) 2219 8201,"Recanto Benício Cardoso, 99
Acaba Mundo
88817235 da Cruz / AL",Plano EEE,282.391.865-61,06/22/1998
Raquel Pereira,+55 71 3001-5281,"Viela de Peixoto, 57
Novo Glória
17617118 das Neves de Jesus / BA",Plano DDD,793.501.509-89,05/08/2005
Leonardo Nogueira,+55 (021) 9069 0580,"Morro Laís da Mata, 391
São Tomaz
57045322 das Neves / PI",Plano EEE,917.607.517-89,08/16/1992
Laís Jesus,+55 11 4224-6281,"Praia de Rezende, 67
Maravilha
01368-390 da Mota Alegre / MT",Plano AAA,617.479.552-14,03/18/2005
Lucas Gabriel da Mota,+55 84 4696-4776,"Estação Milena da Paz
Jardim América
77498857 Campos / MA",Plano CCC,692.708.914-11,08/10/2017
Maria Rocha,21 0767-8000,"Feira Vitor Gabriel Pereira, 37
Conjunto Floramar
96851083 Cunha de Gonçalves / PR",Plano DDD,190.233.636-61,06/21/2009
Sr. Luigi Souza,51 977 9316,"Alameda de Martins, 65
Vila Sesc
29039-156 Gonçalves / PI",Particular,570.200.644-65,09/21/2014
Sr. Leandro Azevedo,31 6081 2398,"Aeroporto Gonçalves
Beija Flor
48413-724 Martins / AL",Plano BBB,401.574.432-48,11/07/2018
Marcos Vinicius Novaes,81 6102-7378,"Morro Enzo Gabriel Caldeira
São Francisco
43020-926 Cardoso Alegre / RN",Plano DDD,930.322.118-21,10/13/1997
Henrique Almeida,+55 (021) 2881 8429,"Recanto de Fernandes, 29
Minas Caixa
82615789 Vieira / SE",Plano BBB,298.545.939-64,02/14/1997
Sr. Vicente Barbosa,+55 (081) 4342 7093,"Estação Lima, 15
Jatobá
73063093 Barros das Flores / GO",Particular,946.883.725-82,05/24/2002
Lucas Gabriel Alves,(031) 4374-1246,"Quadra Farias, 90
Vila São Gabriel
09718786 Almeida Paulista / SP",Plano CCC,689.867.614-96,01/18/2009
Pedro Porto,81 6898 6680,"Fazenda Miguel da Luz, 78
Cidade Jardim Taquaril
55817261 das Neves / RJ",Plano CCC,359.335.161-15,09/06/1998
Otávio Almeida,+55 (021) 1129-4194,"Trevo de Freitas, 368
Monsenhor Messias
89857301 Novaes das Pedras / CE",Plano DDD,693.906.717-86,08/27/2011
Stephany Monteiro,84 0413 6018,"Jardim Juan da Rocha
Silveira
40273-272 da Mata do Amparo / PI",Plano DDD,122.839.199-88,05/11/2016
Júlia Campos,+55 11 6858-7907,"Núcleo Duarte, 29
União
07834-695 Moreira do Galho / DF",Plano CCC,676.208.835-18,05/20/2000
Gabriel da Rocha,+55 31 1274-0953,,Plano CCC,862.207.579-30,12/01/1990
Gabrielly Freitas,+55 (021) 7232 4780,"Viaduto Carvalho, 879
Santa Inês
44263-405 da Conceição de Lima / SP",Plano DDD,958.159.710-86,05/10/2006
Thales Azevedo,(081) 0011 1996,"Lagoa Teixeira, 88
Beija Flor
16590853 Fogaça de Souza / SE",Plano BBB,653.297.301-54,04/07/1998
Elisa Dias,+55 (021) 1056 1415,"Favela de da Paz, 100
Novo Glória
15019751 Barbosa de Minas / CE",Plano AAA,168.489.925-56,03/11/2008
Luigi Fogaça,71 2704-8024,"Residencial Freitas, 55
Conjunto Taquaril
67816419 Moraes / GO",Plano BBB,949.296.455-46,07/22/1992
Luigi da Cruz,+55 (011) 7244-0232,"Fazenda Luiz Fernando Caldeira, 95
Conjunto Jardim Filadélfia
61474035 Castro / AP",Plano EEE,211.110.929-93,05/22/1993
Lucca Nogueira,71 2129-5391,"Rua Clara Nascimento, 5
Vila Nossa Senhora Do Rosário
51250363 da Paz de Nunes / RN",Plano DDD,450.392.819-52,03/01/2007
Dr. Francisco da Mata,(041) 4078-6755,"Alameda de da Rocha, 859
Gameleira
65019878 Mendes de Costa / MT",Plano EEE,892.814.470-61,11/03/2016
Ana Júlia Correia,(084) 9421-7639,"Estrada Cardoso
Santo Agostinho
61812-240 Moreira de Souza / SE",Plano DDD,280.127.168-59,10/30/1994
Ana Julia Costa,81 2498 4404,"Residencial Barbosa, 7
Vila Coqueiral
32661202 Jesus de Cardoso / ES",Plano CCC,250.518.815-94,08/04/2017
Rodrigo Cardoso,(081) 9634 2046,"Campo Costela
Santa Sofia
90379-589 Rocha / PI",Plano DDD,929.452.439-66,01/10/1993
Manuela Aragão,84 5742-5818,"Distrito da Rosa, 49
Santo Agostinho
92240329 Nascimento de Araújo / AC",Plano CCC,724.548.983-54,12/17/2010
Srta. Julia Farias,+55 81 8107-2187,"Lago Martins, 8
Madri
49950192 Viana das Flores / SP",Plano DDD,133.128.976-60,01/10/2015
Dr. Thales Pinto,(084) 0785 3424,"Estação de Vieira, 61
Vila Coqueiral
47323-928 Moura das Pedras / CE",Particular,807.103.147-63,10/05/2018
Isadora Pires,81 8659 9220,"Residencial de Fernandes, 1
Nova Gameleira
86410-943 Novaes da Prata / AP",Plano DDD,369.440.607-52,11/21/1993
Isabella da Cruz,(071) 0399 0834,"Praia Isabel Azevedo, 46
Buritis
24425626 Gonçalves / RS",Plano DDD,489-361-655-45,03/03/2020
Maria Fernanda Almeida,+55 31 2224-7561,"Recanto de da Rosa, 87
Delta
68949-115 Peixoto / AL",,382.853.650-24,09/11/2013
Rebeca Silveira,(021) 2148-6763,"Rua de da Rocha
Novo São Lucas
23843-777 Rocha de Caldeira / CE",Plano AAA,605.398.825-74,11/23/1999
Mariane Carvalho,(071) 8626-4654,"Ladeira Ramos, 49
Conjunto Celso Machado
54751-380 da Conceição do Sul / PB",Plano EEE,218.393.247-90,02/21/1991
Carlos Eduardo Cunha,+55 11 2634-7614,"Viaduto Correia, 63
Vila Suzana Segunda Seção
82098-819 Cardoso de Goiás / MA",Plano EEE,632.540.775-55,05/31/1993
Maitê Jesus,(031) 7334-0250,"Fazenda Gomes, 88
Aparecida 7ª Seção
18618-588 da Luz / AP",Plano AAA,564.626.805-45,02/13/1992
Dr. Pedro Rezende,(011) 4649 2381,"Área Letícia Sales, 83
Vila Antena Montanhês
19435-841 Campos / RN",Particular,303.195.888-82,02/02/2000
Dr. Marcelo Souza,(071) 5591 5274,"Núcleo de Pinto
Juliana
60114-226 Moreira Alegre / RR",Particular,243.709.395-62,11/09/2003
Stella Monteiro,41 5935 5616,"Estrada Igor Nogueira, 1
Lorena
16846342 Barros Paulista / PA",Plano AAA,355.936.887-36,12/21/1999
João Miguel Fogaça,+55 (081) 3540-6721,"Passarela Nunes, 7
Coração De Jesus
56595-910 Cardoso / MG",Plano BBB,908.746.200-37,02/22/2020
Henrique Teixeira,(021) 9113-6566,"Área Ramos, 2
Lorena
77100045 Campos de Goiás / PR",Plano DDD,521-777-791-22,06/27/1999
Igor Silva,+55 (071) 5255-9669,"Recanto Raquel Peixoto, 79
São Jorge 2ª Seção
64682398 Cunha da Mata / PE",Plano DDD,410.598.688-18,01/03/2007
Luana Peixoto,41 3629-5698,"Vereda Rocha, 6
Vila São João Batista
87916-522 Dias da Prata / SC",Plano DDD,110.660.239-10,05/12/2001
Vitor Gabriel Cardoso,(051) 8185-1898,"Sítio Marcos Vinicius Souza
Cenaculo
96934-083 Viana da Prata / AC",Plano EEE,486.518.369-73,02/21/1993
Isabel Duarte,(051) 3850-2548,"Avenida Ribeiro, 58
Graça
05745189 Moraes de Fernandes / AM",Plano BBB,368.266.616-25,12/18/1997
Maria Luiza Melo,(041) 3325 8574,"Praça Beatriz Cavalcanti, 39
Trevo
42160-427 Aragão da Serra / RJ",Plano CCC,426.947.848-74,03/08/1998
Thomas Nogueira,+55 (041) 0678 6025,"Núcleo Catarina Ramos
Cidade Jardim
43451574 Viana de Goiás / SC",Plano CCC,898.804.763-11,12/10/1994
Catarina Sales,(021) 9084-6334,"Vale de Carvalho, 278
Embaúbas
46604636 Costela / ES",Plano EEE,226.329.817-81,06/23/2009
Dra. Isabella Nunes,+55 (041) 0936-2134,"Jardim de Duarte, 90
Mineirão
20116098 Vieira Verde / RJ",Plano AAA,145.471.820-34,05/07/2013
Maria Cecília Barbosa,+55 (084) 4331-1724,"Lago de Duarte
Ventosa
70709-998 Moraes / MS",Particular,600.542.935-24,01/22/2001
Nicolas Lopes,+55 (084) 0265-5856,"Viaduto Miguel Pinto, 67
Mariano De Abreu
53711319 da Luz / RR",Plano DDD,316.895.168-35,11/08/1994
Luiz Felipe Oliveira,+55 (081) 1737 2080,"Vale Agatha Ramos, 37
Mantiqueira
90460207 Pereira / CE",Plano BBB,622.480.881-94,05/03/2020
Srta. Isabella Rezende,+55 31 0424-6710,"Esplanada Araújo, 20
Vila Minaslandia
45941764 Alves Verde / RO",Particular,351.296.164-54,11/22/2012
Julia Aragão,+55 21 4984-0011,"Vereda Rodrigo Monteiro
Vila Nova Cachoeirinha 2ª Seção
05670-691 Fogaça / MT",Plano EEE,210.872.642-62,12/25/2017
Dra. Ana Carolina Nunes,+55 (071) 6772-5420,"Avenida Clara Monteiro, 22
Monsenhor Messias
02321095 Barbosa dos Dourados / DF",Plano BBB,485.823.490-79,02/21/1994
Ana Farias,+55 41 3313 4618,"Parque Luiz Henrique Moura, 70
Inconfidência
18629-406 da Luz da Mata / MT",Plano EEE,250.110.803-91,03/16/2020
Caio da Conceição,+55 71 4311-3083,"Núcleo de Silveira, 812
Floramar
48278-199 Nascimento de Viana / AM",Particular,425.245.945-22,09/19/2016
André da Paz,+55 21 4074-8738,"Estrada Rocha, 2
São João
07099-939 Lima de da Mota / RN",Plano CCC,450.768.568-78,08/22/1996
Leandro da Cruz,31 4884-7443,"Lagoa André das Neves
Cônego Pinheiro 2ª Seção
18134-122 Martins / RN",Plano DDD,184.517.630-92,10/19/2000
Dr. Vicente das Neves,+55 (081) 1404 3932,"Esplanada Matheus Porto, 16
Ermelinda
28539-960 Carvalho de Minas / SC",Plano EEE,477.553.960-95,12/02/1992
Elisa Cardoso,+55 (071) 8711-2991,"Rua Maria Alice Peixoto, 70
Oeste
62838927 Oliveira do Oeste / BA",Plano AAA,648.262.860-27,09/11/2003
Luigi da Costa,(011) 6672 8013,"Sítio de Sales, 501
Camponesa 1ª Seção
71105164 Alves / SP",Plano EEE,656.200.773-51,05/26/2008
Enrico da Rocha,+55 (081) 7846 2665,"Trecho Juliana Carvalho, 78
Tupi A
97154090 da Luz / AP",Plano EEE,692.568.176-56,01/07/2016
Srta. Luana da Rosa,(071) 7101 1775,"Trecho de Martins, 47
Vila Sesc
10079-279 Vieira de Alves / PA",Plano BBB,592.143.619-74,08/21/1990
Enzo Gabriel Caldeira,+55 (061) 5124 1882,"Via Moraes, 60
Providencia
87969-579 Duarte / AP",Plano DDD,270.718.547-33,09/04/2011
Leandro da Paz,(041) 5637 1054,"Avenida Júlia Farias, 4
Lindéia
58587432 Rezende Grande / CE",Plano BBB,110.608.871-28,08/18/2012
Enzo Gabriel da Luz,(061) 4673-5556,"Residencial da Rocha, 508
Vila Atila De Paiva
37754176 Jesus / PI",Plano DDD,632.783.457-65,02/01/1993
João Lucas Pereira,+55 (011) 4220 9753,"Trecho Duarte, 21
Corumbiara
54912-001 Monteiro / BA",Plano DDD,569.169.680-19,01/04/2008
Bruno Cardoso,+55 51 216 1565,"Passarela de Nunes, 4
Ermelinda
37240-900 Moraes / AM",Plano BBB,248.464.570-58,02/26/2003
Diogo Novaes,(021) 1031 8919,"Alameda Ana Vitória Pires, 18
Lindéia
60394-703 Pinto / SC",Plano AAA,268.526.146-97,11/05/2003
Luiz Gustavo Rocha,(081) 5677 6944,"Colônia Alexia Nogueira, 3
São José
89028-234 Rezende de Caldeira / RO",Plano DDD,919-504-525-62,11/14/2005
Ana Beatriz Melo,+55 (061) 1702-5176,"Trevo João Pedro Peixoto, 6
Vila Copacabana
03746865 Gomes / RR",Plano EEE,171.845.168-19,02/25/2012
Dr. Thales Monteiro,+55 21 7689 0328,"Trecho Eduardo Jesus, 36
Vila Tirol
13890792 Costela / AM",Plano EEE,655.345.115-13,09/25/2014
Lucas Almeida,+55 (081) 8892-7150,"Conjunto da Costa, 42
Vista Alegre
89896669 da Rocha da Mata / MT",Plano DDD,205.254.387-62,06/26/1999
Ana Júlia da Rosa,81 1990 1307,"Sítio Anthony Sales, 24
Floramar
22503-836 Martins / RR",Plano AAA,493-291-493-43,02/05/2005
Carolina da Paz,(084) 3944 7336,"Distrito Cardoso, 58
Concórdia
28756-476 da Paz / CE",Plano EEE,882.737.411-50,07/19/2015
Paulo Pires,(041) 3497-2082,"Conjunto Monteiro, 33
João Pinheiro
51094-206 Moura dos Dourados / MA",Plano EEE,540.710.829-77,
Ian da Conceição,61 3144 3714,"Ladeira de Santos, 88
Inconfidência
32713247 Correia de Minas / SP",Plano BBB,653.176.204-32,04/22/2012
Vitor Hugo Barros,11 3515 7889,"Chácara de Ferreira, 61
Vila Havaí
41805-919 Pinto de Minas / SE",Plano AAA,158.764.201-41,04/01/1992
Dra. Luiza Cunha,(084) 6679-9377,"Vale Bruno Costa, 47
Coração De Jesus
49291327 da Costa / AL",Particular,207.459.255-15,06/04/2001
Luiz Otávio Gonçalves,+55 (021) 0512 4271,"Favela Silva, 4
Califórnia
38522041 Vieira / AL",Plano EEE,417.718.897-82,01/05/2012
