Nome,Especialização,Contratação,Telefone,Endereço,CPF,Nascimento
Fernanda Sales,Cardiologia,11/17/2014,51 898 2132,"Vila de Silveira
Santo Antônio
23752368 Costa / GO",244.997.899-66,09/21/1970
Brenda da Rosa,Dermatologia,03/08/2017,+55 (041) 1830-9764,"Largo Silva, 54
Jardim São José
00796090 Almeida / PE",294.884.781-40,04/15/1983
Daniela Porto,Acupuntura,08/27/2016,(061) 7790-7101,"Alameda Emilly Azevedo, 172
Indaiá
73318-035 da Conceição do Galho / SC",244.894.242-21,06/13/1982
Levi Castro,Acupuntura,03/20/2016,31 9874 4898,"Praça de Carvalho, 10
Sagrada Família
52149679 Almeida de Goiás / BA",577.960.318-34,12/17/1994
Luiz Gustavo Farias,Cardiologia,06/17/2019,+55 11 6219 1960,"Campo Lucca Barros, 69
João Pinheiro
27701382 Dias / CE",,08/14/1994
Dr. Thales Vieira,Pediatria,12/16/2018,(071) 1587-8093,"Área de Lopes, 26
Jardim Leblon
14786-012 Pinto de Caldeira / SE",661.248.896-71,09/24/1975
Breno Duarte,Cirurgia geral,02/03/2012,+55 31 3569 7437,"Via Almeida, 81
Vila Puc
13755033 Barbosa Alegre / GO",843.818.466-76,12/07/1976
Emanuella Freitas,Pediatria,02/16/2017,+55 61 5552-2456,"Sítio Sabrina Costela
São Pedro
48567-209 Martins da Praia / MT",396.367.484-50,11/01/1989
Davi Lucca Cardoso,Endoscopia,06/15/2013,(031) 2646-8466,"Fazenda Samuel Duarte, 847
Conjunto Celso Machado
59647996 Alves do Amparo / SC",690.551.532-29,07/23/1978
Sr. João Felipe Araújo,Medicina do trabalho,03/06/2011,(011) 4191-3688,"Colônia Rafael Ferreira, 16
João Pinheiro
58884477 da Cunha de Minas / CE",404.929.232-84,04/05/1985
Cauã Carvalho,Radioterapia,09/09/2014,+55 (061) 9205 8710,"Travessa de Ferreira
João Pinheiro
60328-144 Farias dos Dourados / SC",967.981.500-83,01/17/1987
Miguel da Mota,Medicina do trabalho,07/12/2014,(041) 9855 9911,"Rodovia Sabrina Lima, 4
Conjunto Bonsucesso
26471-673 Moreira / TO",165.110.812-79,11/20/1998
Alícia Farias,Cirurgia geral,09/06/2018,(011) 7159-9080,"Pátio João Vitor Cardoso, 427
Colégio Batista
80361672 Silveira / RJ",714.180.387-59,01/12/1980
João Guilherme da Cunha,Pediatria,01/14/2018,(061) 1143 0748,"Praia Pinto, 97
Santa Isabel
12886-844 Sales Alegre / SC",453.376.161-38,12/17/1973
Mariana da Rocha,Dermatologia,09/09/2011,11 8174 9206,"Jardim Azevedo, 93
Ipiranga
17141-336 Duarte / AM",768.705.278-78,07/30/1998
Antônio Moura,Neurologia,03/08/2019,(031) 5428-3129,"Aeroporto de da Paz, 21
Jardim Dos Comerciarios
68867-562 Porto da Mata / ES",669.991.465-19,11/01/1978
Dr. Lucas Ramos,Acupuntura,12/02/2013,+55 (084) 8561 2901,"Lago da Rosa, 62
Gutierrez
39312659 Costa / MG",166.241.189-46,07/24/1981
Thomas Alves,Radioterapia,04/03/2014,11 4225-9411,"Alameda Caroline Rocha, 60
Vila Piratininga
92597927 Rodrigues de da Paz / DF",967.575.572-75,05/18/1997
Matheus da Luz,Alergia e imunologia,07/29/2017,(011) 1973 0540,"Colônia de Pinto, 914
Vila Jardim São José
68641630 Campos Grande / MS",433.305.405-80,03/23/1991
Eduarda Carvalho,Neurologia,03/22/2012,61 4031-4516,"Esplanada Oliveira, 60
Olhos D'água
68496540 Carvalho / AL",206.324.904-54,12/03/1980
Isabelly Freitas,Medicina do trabalho,09/25/2019,(021) 8666-6086,"Residencial Peixoto, 25
Vila Oeste
24111-204 Santos de Barros / MS",730.637.178-24,08/19/1999
Sr. Felipe Sales,Endoscopia,06/18/2015,+55 11 9773 8013,"Setor Moraes, 30
Vila Atila De Paiva
24479-916 Rodrigues / SE",173.155.482-63,02/02/1987
Erick Rodrigues,Endoscopia,02/22/2019,+55 (081) 8972 4465,"Conjunto Sales, 686
Aarão Reis
60687961 Almeida de Pires / RJ",858.295.575-73,03/08/1988
Lorena Melo,Neurologia,02/11/2013,+55 (051) 1362 9516,"Largo Maria Cecília da Cruz, 60
Marilandia
67698858 Oliveira Grande / ES",271.827.895-78,09/19/1990
Júlia Peixoto,Acupuntura,07/08/2020,71 3440-6392,"Alameda Cardoso, 59
Bernadete
08387-070 Campos / MA",998.292.600-23,02/08/1981
Kamilly da Rosa,Dermatologia,07/29/2016,+55 11 9232 9397,"Praia Manuela da Cunha, 64
Conjunto Providencia
81887536 Nunes de Ribeiro / AM",727.926.995-29,10/27/1987
Ana Clara da Paz,Neurologia,02/04/2012,,"Recanto de Barbosa, 278
Anchieta
08678-666 Rocha / RR",112.412.441-55,07/14/1978
Luiz Gustavo Peixoto,Neurologia,01/08/2014,(011) 0258-0702,"Condomínio Vinicius Lopes, 9
Marieta 2ª Seção
16568566 Rocha / PA",449-352-520-31,10/31/1976
Lívia Barbosa,Oftalmologia,03/28/2015,11 8057 0794,"Condomínio Nunes, 36
Jaqueline
66222-124 Rezende / ES",259.128.133-25,04/06/1994
Bruno Viana,Cardiologia,05/27/2018,81 7643 0070,"Campo Vieira, 728
Vila Mangueiras
85018-445 Campos Grande / MS",661.528.220-46,03/27/1991
Ian Nogueira,Dermatologia,04/12/2018,51 440 3619,"Via de Moreira, 32
Jardim Do Vale
51744852 Farias da Praia / PA",265.991.579-32,09/18/1997
Alícia Almeida,Acupuntura,10/11/2017,(081) 3071 6735,"Alameda Vinicius Rezende
Luxemburgo
26234-959 Farias do Campo / PA",377.990.380-95,01/15/1998
Bruna Cunha,Radioterapia,02/24/2014,(071) 3858 1237,"Pátio de Mendes, 67
Vila Dos Anjos
99996529 Melo / DF",509.583.270-76,09/14/1998
Ana Lívia Moraes,Neurologia,02/02/2012,11 3751-7184,"Lagoa Erick Campos
Vila Santa Rosa
21431-081 Silveira de Caldeira / MA",552.696.768-66,01/20/1977
Bryan Moraes,Cardiologia,08/21/2013,+55 (041) 6666 4111,"Aeroporto Peixoto
Vila Independencia 3ª Seção
42559894 Nogueira / PE",578.144.318-32,03/17/1979
Dr. Juan Souza,Radioterapia,11/07/2018,81 0570-2994,"Parque Melo, 89
Vila Da Luz
42257-599 Sales / BA",189.221.369-39,01/26/2000
Pedro Henrique Gonçalves,Oftalmologia,03/31/2015,51 537 8517,"Praça Fogaça, 357
Vila Pilar
29364-179 Sales / SE",731.498.114-19,05/03/1975
Henrique da Conceição,Endoscopia,01/09/2011,+55 (061) 6989-6525,"Alameda Maitê Gonçalves, 49
Nova America
33736585 Moura / BA",728.747.535-96,12/24/1988
Dr. João Felipe Castro,Alergia e imunologia,08/30/2018,+55 31 8705-1383,"Praça Gomes, 59
Primeiro De Maio
60808-564 Fogaça do Sul / SP",620.427.953-44,12/01/1972
Eloah Farias,Neurologia,07/29/2014,84 4106 6948,"Lagoa da Luz, 31
Floresta
02332-753 Fogaça / PB",427.167.724-92,12/06/1982
Sofia da Mata,Acupuntura,01/31/2014,+55 84 5475-9336,"Praça Vieira, 95
Conjunto Bonsucesso
66134071 Peixoto de Nogueira / RS",922.146.725-64,09/08/1996
Alexia Santos,Radioterapia,04/03/2011,+55 (061) 9994 6000,"Praça Milena Ferreira, 56
João Alfredo
31774-423 Dias Grande / MT",253.546.954-69,11/01/1974
João Felipe Rocha,Cirurgia geral,04/12/2017,+55 81 7882 1033,"Chácara de Moura, 94
Cônego Pinheiro 1ª Seção
21189384 Aragão de Farias / MG",258.378.123-65,11/17/1981
Marcela Sales,Dermatologia,10/04/2013,+55 84 9197 2852,"Estrada Guilherme da Mota
Campo Alegre
70509-164 Pereira de Porto / MS",521.722.497-23,12/28/1979
Cauã Cardoso,Cirurgia geral,08/23/2012,+55 21 5134-5222,"Sítio de Araújo, 425
Delta
70120-771 Alves dos Dourados / AP",659.962.794-53,11/03/1998
Kevin Caldeira,Radioterapia,03/03/2011,+55 (071) 1548-6463,"Núcleo Lara Rocha, 83
Jardim Dos Comerciarios
36182148 Peixoto de Castro / AC",672.717.218-42,08/31/1996
Emilly Lopes,Alergia e imunologia,11/08/2016,61 7541 3988,"Viela Carvalho, 94
Minaslandia
74871392 da Mota de Rocha / SP",254.643.384-82,12/28/1992
Dr. Leandro Nascimento,Oftalmologia,05/28/2015,+55 (081) 3033 7478,"Vila da Conceição, 57
Marçola
92593-494 Moura - PR",262.860.592-67,06/21/1996
Dr. Davi Lucas Santos,Pediatria,02/26/2017,+55 84 2416 2790,"Passarela Moraes, 56
Lourdes
51354-094 Rodrigues / MT",932.316.426-33,04/19/1980
Sr. João Pedro Viana,Radioterapia,06/27/2014,(041) 2597 3738,"Recanto Caroline Rocha, 31
Pirineus
28305474 Pereira dos Dourados / RS",924.602.790-10,05/22/1976
Joana Peixoto,Cardiologia,04/03/2012,11 7785-4864,"Estrada Emanuel Ramos, 6
Vila Batik
41231470 da Mata Verde / AC",436.570.201-63,09/14/1975
Isabelly Nunes,Pediatria,10/23/2015,21 7746 2262,"Chácara de da Cunha
Vila Ecológica
63347-839 Sales / GO",501.843.858-96,09/02/1995
Dr. Fernando Rezende,Cardiologia,10/07/2015,(061) 4285-3231,"Praça de Porto, 1
São Luiz
07581074 Farias / AC",165.666.811-13,01/17/1987
Thomas Silveira,Medicina do trabalho,06/26/2014,+55 (021) 7985-4017,"Núcleo Maria Alice Ferreira, 5
Flavio De Oliveira
30705-575 Silveira dos Dourados / CE",488.682.922-26,01/18/1973
Antônio Nogueira,Medicina do trabalho,06/29/2014,+55 61 8830-1441,"Área de Araújo, 2
Estrela Do Oriente
05204-457 Lopes - BA",900.741.649-79,04/11/1998
Gustavo Henrique da Rocha,Neurologia,08/07/2019,(051) 8003-1459,"Residencial Cunha, 166
Minaslandia
95665-278 Cunha do Amparo / PR",302.275.161-48,08/08/1989
Marcos Vinicius Azevedo,Cirurgia geral,10/09/2016,+55 (051) 0128 8907,"Estrada de das Neves, 55
Bacurau
87127-557 da Cunha / PA",467.351.391-35,04/28/1973
Letícia Barbosa,Cirurgia geral,01/30/2014,+55 84 3563-6966,"Estação Vitor Gabriel Campos, 288
Goiania
34234840 Nogueira do Oeste / RR",584.621.796-98,08/21/1996
Sophie Farias,Pediatria,10/19/2015,+55 31 2327-3210,"Feira Luiz Otávio Lima, 22
Caiçaras
90354862 Carvalho Verde / GO",408.248.338-66,05/13/2000
Murilo da Luz,Medicina do trabalho,09/21/2011,+55 (084) 1214 4927,"Pátio Kevin Viana, 2
Aeroporto
84225853 Alves da Praia / MT",552.863.246-20,03/02/1991
Dra. Elisa Moreira,Cardiologia,09/16/2018,+55 (031) 1702-2395,"Colônia de Nunes, 86
Grota
45994021 Barros Grande / MG",217.542.313-52,02/20/1986
Nina Gonçalves,Dermatologia,08/24/2010,(051) 7293 5694,"Campo Caldeira, 69
Nova Vista
43675215 Jesus de Monteiro / RO",475.609.344-98,06-18-1997
Srta. Marina Farias,Acupuntura,04/05/2020,+55 81 8284 8206,"Feira Leandro Fernandes
Vila Vista Alegre
58037-341 Rezende do Oeste / RR",634.445.487-92,03/25/1979
Pedro Miguel da Costa,Endoscopia,06/07/2018,+55 51 003 4736,"Núcleo Augusto Castro, 38
Vila Nova Gameleira 1ª Seção
79545-323 Pereira / AP",533.674.877-58,10/15/1997
Lorenzo Souza,Medicina do trabalho,05/03/2013,+55 (011) 1410-1059,"Condomínio de Costa, 42
Vila Nossa Senhora Do Rosário
91698138 Cunha de da Cunha / AC",872.104.962-52,01/29/1990
Benício Pires,Dermatologia,04/30/2020,+55 71 7106-5175,"Quadra de Sales, 7
Virgínia
35282-976 Almeida de Minas / RS",849.703.984-78,05/05/1980
Kaique Santos,Cardiologia,05/30/2017,61 0955-5746,"Lago Rodrigues, 413
Planalto
28020-597 Lima / AM",240.607.220-43,10/01/1977
Ana Laura Caldeira,Oftalmologia,01/05/2013,+55 81 1631 1274,"Quadra de Castro, 184
Vila Oeste
12250678 Ferreira das Flores / MA",303.488.600-94,09/03/1998
Enzo Gabriel Vieira,Cardiologia,12/07/2013,+55 (084) 0918 3080,"Colônia Cavalcanti, 11
Monsenhor Messias
46252350 Almeida dos Dourados / AP",260.959.342-86,11/18/1990
Yuri Vieira,Neurologia,04/27/2013,+55 (051) 9532-9204,"Residencial Ramos, 87
Braúnas
17070211 Mendes de Minas / RO",183.671.121-82,11/24/1972
Maitê Aragão,Acupuntura,12/04/2018,(031) 9188 8425,"Conjunto Sales, 74
Vila Santo Antônio Barroquinha
99705675 Nunes de Nascimento / PI",968.322.979-63,02/26/1975
Dr. Ian Rodrigues,Cardiologia,09/16/2011,+55 (084) 1038-4345,"Alameda das Neves
Ventosa
93619571 Rocha da Praia / CE",943.480.910-32,09/23/1970
Stella Lima,Neurologia,08/09/2017,+55 (041) 1237 2253,"Travessa Sophie Ferreira
Vila Antena Montanhês
81231-705 Viana de Duarte / RN",730.819.267-96,02/13/1982
Thiago Cardoso,Radioterapia,05/26/2013,+55 (011) 8603 6408,"Pátio da Mata, 70
Vila Suzana Primeira Seção
27682656 Vieira dos Dourados / PB",524.623.193-47,09/24/1994
Mirella Almeida,Radioterapia,06/12/2020,(031) 4630 7481,"Residencial Ian Rezende
Nossa Senhora Da Conceição
06606-451 Campos de Oliveira / MA",570-610-337-61,07/17/1986
Joaquim Lopes,Dermatologia,12/05/2012,(061) 1424-2821,"Conjunto Souza, 66
Vila São Rafael
26576-299 Nascimento / PR",711.912.521-98,12/12/1998
Diogo Vieira,Radioterapia,04/02/2018,(011) 5471-4100,"Fazenda Moreira, 34
União
32839-138 Ferreira / MS",717.605.383-12,04/27/1972
Lucas Correia,Dermatologia,02/05/2012,61 3426 1939,"Conjunto Heloísa Barros, 215
Vila Cloris
24349-065 Barros / MG",209.192.517-19,11/25/1975
Sophia Jesus,Medicina do trabalho,05/07/2012,+55 (031) 8856 1936,"Lago Matheus Cardoso, 5
Pousada Santo Antonio
90006-869 Peixoto de Viana / ES",380.119.704-82,09/26/1986
Dr. Daniel Teixeira,Cardiologia,09/30/2019,(021) 7994 4651,"Rodovia de Cardoso, 4
Vila Madre Gertrudes 4ª Seção
98322-477 Correia / PB",734.558.569-13,03/04/1986
Augusto Dias,Acupuntura,05/03/2020,+55 11 8122-8087,"Lagoa Ramos, 99
Vila De Sá
30602811 Caldeira Alegre / RJ",519.962.586-28,10/10/1995
Murilo Oliveira,Oftalmologia,09/15/2012,+55 51 694 8346,"Trecho Miguel Farias, 36
Coração De Jesus
68572-635 Cavalcanti do Campo / SC",105.321.142-53,09/02/1990
Catarina Alves,Dermatologia,12/02/2012,41 5081 9694,"Alameda Rodrigo Souza
Juliana
72824565 Moreira / CE",282.406.867-97,03/09/1984
Dr. Fernando Lima,Radioterapia,12/07/2013,+55 31 7906-6318,"Recanto Luiz Otávio Carvalho
Mangueiras
11611790 Nunes do Amparo / PE",371.574.765-83,10/05/1976
Benício das Neves,Medicina do trabalho,04/29/2014,+55 41 7304-3968,"Feira de Teixeira, 129
Lorena
29439-818 Melo / SC",222.679.288-65,08/24/1970
Dr. Isaac da Mata,Acupuntura,01/29/2015,(081) 1241 4099,"Condomínio Aragão, 75
Conjunto Minas Caixa
13439129 Ferreira de Cavalcanti / AL",404.878.172-42,02/17/1991
Noah Novaes,Endoscopia,09/13/2010,11 2279 9973,"Vale Nicolas Oliveira, 7
Mangabeiras
85780419 Fogaça / PI",799.802.967-81,02/03/1975
Sr. Davi Lucca Santos,Pediatria,07/30/2016,(084) 0319-2855,"Avenida Bernardo Pires, 487
Vila Ecológica
89697-259 Pinto da Prata / PR",616.815.441-39,02/06/1994
Paulo Rezende,Radioterapia,05/30/2017,+55 61 7609-1840,"Travessa Fernandes, 3
São João
05914555 da Costa / MS",200.651.581-69,12/15/1996
Pietro Ramos,Oftalmologia,05/21/2016,11 3881-1207,"Rodovia Gustavo Moraes
Conjunto Jatoba
34419-116 Cardoso da Prata / RR",489.808.984-86,10/16/1972
Davi Pereira,Radioterapia,03/11/2019,(061) 6915-8225,"Parque Maria Alice Duarte, 838
Vila Paris
73698-479 Cardoso do Norte / PA",975.436.523-13,09/17/1991
Milena Silva,Oftalmologia,08/01/2013,(061) 9145 1039,"Fazenda Noah Pereira, 75
Dona Clara
39924950 Moreira de Oliveira / GO",427.919.910-34,05/04/1990
Luiz Miguel Vieira,Neurologia,04/30/2011,81 4755-9284,"Sítio Peixoto, 13
Santa Rita
97620964 Martins dos Dourados / TO",178.457.135-22,10/16/1976
Raquel Ferreira,Dermatologia,05/15/2019,+55 (081) 4961 0530,"Via de Cardoso, 93
Lindéia
13164-859 Nascimento Paulista / RR",412.341.297-64,07/09/1990
Dr. Vitor Rodrigues,Medicina do trabalho,11/27/2013,+55 (081) 5832-7035,"Estrada Benício Moreira
Vitoria Da Conquista
70623-547 Nascimento / CE",893.859.213-11,02/25/1974
Heitor da Cruz,Pediatria,04/16/2014,81 7981-4503,"Passarela Rocha, 328
Vila Oeste
47157688 Rodrigues das Pedras / RN",811.737.112-33,08/06/1981
Miguel Vieira,Dermatologia,08/04/2014,+55 (041) 0809-4325,"Esplanada de Almeida, 1
Campo Alegre
75824-983 da Mata / MT",218.491.933-28,02/26/1990
Sabrina Mendes,Medicina do trabalho,08/16/2012,+55 (051) 3195-8899,"Passarela Milena Porto, 14
São Gabriel
96884937 Aragão das Pedras / PB",351.507.694-37,11/05/1981
Thales da Costa,Medicina do trabalho,10/03/2012,(061) 7250 8021,"Trecho de Freitas, 72
Serra
38417820 da Cunha / AL",308.384.258-85,08/23/1984
Luiz Otávio Nunes,Oftalmologia,04/11/2015,+55 (021) 0821 4804,"Fazenda Esther Azevedo
Mineirão
95513165 Costela / AM",131.862.280-62,03/08/1974
Sr. Levi Teixeira,Oftalmologia,06/03/2015,+55 84 1339 5252,"Trevo de Castro, 771
Vila Madre Gertrudes 2ª Seção
59469-499 Teixeira / DF",169.807.755-65,03/17/1971
Dra. Emanuella Araújo,Radioterapia,07/29/2016,+55 51 515 7298,"Avenida Breno Ferreira
Copacabana
38636-041 Silveira de Jesus / PR",627.673.208-83,01/12/1980
Larissa Farias,Cardiologia,12/28/2012,31 9700 7399,"Aeroporto Fernandes
Fazendinha
38583-564 Lima Paulista / SP",575.738.135-59,09/17/1995
Srta. Eloah Cavalcanti,Pediatria,10/16/2018,31 2306 5784,"Recanto Dias, 5
Vila Mangueiras
23785-234 Alves da Mata / ES",140.455.771-22,11/11/1970
Milena Caldeira,Dermatologia,08/31/2015,+55 (061) 5016-3871,"Colônia de da Luz, 16
Cabana Do Pai Tomás
83704518 da Rocha de da Costa / BA",228.562.606-62,03/14/1983
Maria Eduarda da Cunha,Neurologia,01/11/2017,81 2990 6153,"Alameda Guilherme Fogaça, 386
Leonina
07058714 Araújo / RS",789.261.267-10,03/11/1986
Vitória Souza,Cardiologia,05/23/2020,+55 41 5524 5316,"Estrada Kevin Moura, 272
Belvedere
70347-749 Castro de Goiás / PA",665.595.330-65,10/05/1996
Alexandre Lima,Dermatologia,04/12/2011,81 8394-6852,"Loteamento Pires, 751
Vila São Geraldo
44544910 Ferreira da Praia / AM",400.805.105-64,08/02/1988
Theo Viana,Pediatria,01/27/2016,+55 71 6015-4026,"Lagoa Maria Eduarda Silva, 75
Vila Satélite
27713-486 Moura / PB",335.572.407-43,01/11/1990
Gabrielly da Mata,Medicina do trabalho,12/03/2016,(011) 3631-8479,"Esplanada Marcelo Almeida, 90
Luxemburgo
57906-456 Rezende / MT",833.953.752-25,12/30/1987
Breno Correia,Medicina do trabalho,06/17/2013,+55 (084) 5352-3871,"Morro João Miguel da Mata, 49
Horto
55213-193 Moraes de Pereira / RS",261.181.528-85,05/07/1976
Nicolas da Mata,Dermatologia,12/05/2011,31 0586 1786,"Rua Moreira, 857
Conjunto Celso Machado
67029393 Castro / RO",444.640.374-20,01/09/1985
Carolina Barros,Alergia e imunologia,12/14/2016,11 6076 9427,"Passarela de Azevedo, 411
Copacabana
20907173 Cavalcanti / AC",250.932.822-59,07/13/1980
Juliana Santos,Cirurgia geral,10/03/2012,(061) 4988-7702,"Aeroporto de Santos, 85
Vila Calafate
91110-141 Castro de Moraes / DF",667.342.868-63,01/21/1990
Dr. Danilo Pires,Alergia e imunologia,10/07/2012,21 6801-2268,"Trevo Eduardo Martins
Cidade Nova
86182156 Silva da Praia / PB",615.508.818-25,06/25/1991
Heitor da Rosa,Pediatria,06/08/2014,+55 81 2061-3546,"Estação Peixoto, 356
Vista Do Sol
83648794 Nunes da Mata / PR",282.881.478-28,10/23/1991
Maitê Nascimento,Cirurgia geral,10/21/2012,(051) 8322 6679,"Viela Pietra Martins, 208
Jaqueline
45513242 Souza de Goiás / AL",312.750.822-17,05/07/1996
Theo Rodrigues,Endoscopia,11/21/2019,+55 71 8593-6408,"Campo Enzo Gabriel da Paz
Vila Ipiranga
41127-882 Barbosa de Minas / AM",617.181.635-51,08/24/1992
Rafael da Rosa,Pediatria,03/25/2020,81 5614 5352,"Trecho de Pereira, 42
São Bento
17096-095 Aragão de das Neves / RS",834.463.495-31,01/30/1999
Srta. Maria Julia Alves,Neurologia,03/20/2011,(061) 6771-8171,"Trecho Vieira, 84
Vila Madre Gertrudes 1ª Seção
09335337 Ribeiro / PA",528.900.262-41,07/28/1983
Joana da Luz,Cirurgia geral,06/23/2019,+55 11 5869-7337,"Viela de da Conceição, 4
Vila Pilar
22454-568 Silveira do Amparo / SP",868.142.162-74,05/20/1981
Ryan Ramos,Cirurgia geral,11/23/2015,(081) 3245 0825,"Trevo de Correia
São Jorge 1ª Seção
89521958 Fernandes das Flores / PR",161.576.377-34,01/24/1976
Ana Vitória Cavalcanti,Oftalmologia,12/27/2015,41 0639-9198,"Avenida Joana Ribeiro, 84
Copacabana
70168479 Rezende / RS",109.325.927-95,09/17/1987
Bianca Caldeira,Dermatologia,07/09/2019,+55 (084) 6795 2559,"Rua Alves, 77
São Francisco Das Chagas
44575342 Gonçalves Grande / SE",168.498.509-68,09/16/1992
Isabel Cardoso,Pediatria,06/26/2019,+55 81 4484-6427,"Jardim Lorenzo Farias, 481
Jatobá
38670136 Azevedo / BA",498.613.713-57,12/22/1984
Ana Sophia Caldeira,Pediatria,07/31/2018,+55 71 3311-2010,"Via de Aragão, 794
Anchieta
38165157 Santos da Serra / DF",511.455.143-97,03/15/1992
Maysa Carvalho,Endoscopia,08/12/2018,(021) 2515 9976,"Favela Castro, 5
Barro Preto
77771-901 Porto da Mata / SP",222.229.505-70,03/23/1999
Sr. Breno Mendes,Neurologia,12/10/2015,81 7579 8850,"Jardim da Mota, 197
Virgínia
51258787 Ramos / AP",685.741.985-83,09/19/1980
Srta. Maria Luiza Porto,Endoscopia,01/22/2020,(061) 8218-0734,"Favela Peixoto, 328
Dona Clara
05491-938 Vieira / TO",763.596.296-76,10/22/1970
Marcela Correia,Cardiologia,06/11/2012,(031) 0119-2678,"Loteamento de Azevedo, 54
Santo Agostinho
43534448 da Mota / RS",209.510.695-14,01/07/1995
Ana Beatriz Melo,Acupuntura,11/26/2011,(071) 2951-8399,"Vila Davi Luiz da Mota, 75
Pedreira Padro Lopes
94980-716 Rezende do Oeste / AC",767.341.935-21,10/19/1975
Evelyn Sales,Pediatria,12/20/2018,(021) 8266-1993,"Vereda de Carvalho, 78
Vitoria
80350208 Freitas de Minas / PR",263.312.318-71,07/02/1977
Davi Lucas Campos,Cardiologia,04/29/2019,71 2632-3441,"Feira Nogueira
Conjunto Capitão Eduardo
26756-560 Fogaça / MG",325.252.120-31,06/28/1971
Miguel da Rosa,Cirurgia geral,06/23/2015,+55 81 4617 9979,"Campo de Alves, 30
João Pinheiro
86432-784 Novaes do Campo / PR",163.219.615-20,07/07/1992
Daniel da Luz,Medicina do trabalho,08/08/2010,84 0602 7337,"Recanto Cecília Rodrigues
Conjunto Bonsucesso
52282-232 Gomes de Goiás / DF",323.279.531-79,10/22/1982
Gabriel Fernandes,Neurologia,11/06/2013,81 2519-8035,"Sítio João Guilherme da Conceição, 398
São João
99215991 da Cruz do Norte / PB",602.266.762-75,03/26/1975
Sr. Daniel Lopes,Radioterapia,01/28/2017,+55 (041) 0016 8425,"Colônia Cecília Ribeiro, 39
Vila Bandeirantes
73719-503 Fogaça de Goiás / CE",588-321-892-55,01/23/1978
Marina Cavalcanti,Oftalmologia,12/03/2017,+55 71 7485 8784,"Sítio Correia, 7
Braúnas
36563-655 Correia de Monteiro / CE",489.500.695-22,11/04/1988
Otávio da Costa,Dermatologia,06/27/2016,+55 (081) 8011 7282,"Passarela da Paz, 28
Piratininga
89934-670 Peixoto / BA",508.557.994-93,11/30/1978
Clara da Luz,Endoscopia,03/15/2018,(061) 7126-5928,"Rodovia João Felipe Caldeira, 48
Cardoso
15248278 Moura / MG",675.606.167-41,10/29/1980
Agatha Castro,Dermatologia,07/05/2016,71 6635 9492,"Rua Gonçalves
Jatobá
83605449 Carvalho de Minas / PE",359.550.941-77,05/05/1976
Guilherme Barbosa,Endoscopia,12/07/2015,+55 (084) 9350 7154,"Chácara Novaes
Penha
72460458 da Cunha / BA",208.665.438-77,09/21/1988
Luiz Gustavo Aragão,Oftalmologia,11/12/2019,+55 21 6209-3623,"Núcleo de da Mata, 52
Pantanal
04355942 Rocha / DF",965.477.747-87,04/20/1974
Thiago Ferreira,Cirurgia geral,11/18/2010,(061) 7101-2409,"Condomínio Monteiro, 3
Vila Real 1ª Seção
42746346 Vieira de Sales / PA",887.626.117-80,
Bárbara Monteiro,Alergia e imunologia,12/15/2011,(021) 1941-9893,"Vila de Cardoso, 258
Unidas
56267121 Castro / GO",776.547.510-88,05/24/1971
Olivia Moura,Oftalmologia,04/15/2019,(021) 0213-3306,"Estação de Cavalcanti, 78
Vila Aeroporto Jaraguá
38462155 Cardoso / DF",297.134.353-31,
Danilo Ribeiro,Neurologia,11/10/2012,+55 81 2733-5735,"Trecho de da Cruz, 33
Comiteco
65870-191 Costa / SE",340.232.388-27,01/29/1989
Sra. Juliana Pinto,Acupuntura,01/29/2017,+55 31 0222-3152,"Morro Alves, 12
Boa União 1ª Seção
32959209 Rodrigues / PI",665.521.862-19,12/10/1987
Bárbara Nogueira,Neurologia,07/20/2015,31 4025 3566,"Parque de Cardoso
São Gonçalo
56723-901 Oliveira de Goiás / MA",966.146.720-77,06/28/1998
Sr. Pedro Henrique Aragão,Pediatria,01/04/2012,+55 81 7376 1489,"Ladeira de Costa, 82
Pantanal
64799374 das Neves de Ramos / BA",239.605.335-81,08/02/1987
Augusto Oliveira,Acupuntura,06/25/2017,(071) 2264 4130,"Colônia de da Rosa, 4
Novo Tupi
85107-465 Moura da Mata / PR",763.974.803-92,10/20/1974
Luiz Henrique Cardoso,Cirurgia geral,01/21/2018,21 3352-0970,"Alameda Barros, 31
Itatiaia
01874741 Barbosa / PI",418.124.941-25,04/24/1981
Maria Luiza Ribeiro,Neurologia,08/24/2012,+55 11 8237-6325,"Condomínio de Sales, 561
Mariquinhas
19103-960 Castro / ES",903.339.703-51,03/31/1979
Samuel da Costa,Acupuntura,06/13/2017,+55 (061) 9510-1301,"Rodovia Caroline Martins, 91
Vila Nova Cachoeirinha 1ª Seção
94751440 Fernandes / AC",160.654.785-11,04/15/1998
Emanuel Nogueira,Radioterapia,01/15/2020,(041) 2445 8508,"Jardim Araújo, 4
Parque São José
81386-385 Castro das Pedras / PA",206.266.609-53,08/22/1977
Larissa Martins,Acupuntura,10/26/2018,+55 (011) 5306-3309,"Estação de Moraes
Santa Helena
29589-452 Duarte Verde / RS",919.528.447-17,12/19/1993
Juliana Teixeira,Cirurgia geral,11/09/2014,+55 (071) 1779-1805,"Conjunto Nascimento, 5
Nova Pampulha
97550266 Castro do Amparo / AC",887.888.159-59,06/19/1971
